Bin,Voltage[V],Current[A],Limit,Ihlal,Band
0,5.2036018561290325,0.00021487338738056935,44.083924107527,False,25us
1,21.024072607843138,0.0002457593425490196,107.70910312035794,False,25us
2,36.30844857142857,0.00019764374238095237,149.79073118965707,False,25us
3,51.02082728571429,0.00017010826857142856,160.0,False,25us
4,66.03357700000001,0.000150041848,160.0,False,25us
5,80.56832,0.00013380847,160.0,False,25us
6,90.84065,0.00012313123,160.0,False,25us
7,105.249097,0.000108351458,160.0,False,25us
8,118.526245,9.42327e-05,160.0,False,25us
9,126.528275,8.5045336e-05,160.0,False,25us
10,137.083165,7.14747e-05,160.0,False,25us
11,145.66278,5.881225e-05,160.0,False,25us
12,151.76948000000002,4.776508e-05,160.0,False,25us
13,156.81864571428574,3.635769e-05,160.0,False,25us
14,160.04387200000002,2.6562444666666665e-05,160.0,False,25us
15,162.7438075,1.37010885e-05,160.0,False,25us
16,163.74126608695653,1.416190256e-06,160.0,False,25us
17,163.4715075,-7.111084575e-06,160.0,False,25us
18,160.932535,-2.2087629e-05,160.0,False,25us
19,156.84207,-3.587175e-05,160.0,False,25us
20,152.98947,-4.501813e-05,160.0,False,25us
21,148.3027,-5.412827e-05,160.0,False,25us
22,139.671605,-6.77263075e-05,160.0,False,25us
23,129.52217,-8.1266786e-05,160.0,False,25us
24,121.81367,-9.018978e-05,160.0,False,25us
25,109.3485225,-9.724191250000001e-05,160.0,False,25us
26,97.342026,-9.2197835e-05,160.0,False,25us
27,91.172066,-8.623124e-05,160.0,False,25us
28,82.13447500000001,-7.7495905e-05,160.0,False,25us
29,73.49473,-6.914553e-05,160.0,False,25us
30,68.438705,-6.42586e-05,160.0,False,25us
31,61.7497865,-5.7792968e-05,160.0,False,25us
32,55.83805,-5.2078183e-05,160.0,False,25us
33,52.34767,-4.8703867e-05,160.0,False,25us
34,49.15204,-4.5614343e-05,160.0,False,25us
35,44.85531,-4.1460039000000006e-05,160.0,False,25us
36,47.48616051515151,0.00015869158745454543,160.0,False,25us
37,60.326454727272726,0.00015666628772727272,160.0,False,25us
38,74.29909666666667,0.00014063011333333335,160.0,False,25us
39,91.112656,0.00012280438,160.0,False,25us
40,103.386154,0.000110345165,160.0,False,25us
41,113.933538,9.92355875e-05,160.0,False,25us
42,124.91968,8.698776e-05,160.0,False,25us
43,131.83545,7.855362e-05,160.0,False,25us
44,140.6643,6.6469175e-05,160.0,False,25us
45,148.75865,5.3521056999999994e-05,160.0,False,25us
46,155.008845,4.080788066666667e-05,160.0,False,25us
47,159.6118490909091,2.8092661636363635e-05,160.0,False,25us
48,161.8307909090909,1.905248809090909e-05,160.0,False,25us
49,163.65683588235294,3.6336376864705886e-06,160.0,False,25us
50,163.68116916666668,-3.011803558833333e-06,160.0,False,25us
51,162.36615,-1.5691992e-05,160.0,False,25us
52,158.906365,-2.9497464e-05,160.0,False,25us
53,153.80399,-4.3244017e-05,160.0,False,25us
54,149.2774,-5.23611e-05,160.0,False,25us
55,143.9372,-6.144287e-05,160.0,False,25us
56,134.37703,-7.500578999999999e-05,160.0,False,25us
57,123.36275,-8.8477645e-05,160.0,False,25us
58,115.18592,-9.60986e-05,160.0,False,25us
59,102.65381500000001,-9.5799165e-05,160.0,False,25us
60,93.00654,-8.800445e-05,160.0,False,25us
61,84.193962,-7.948640999999999e-05,160.0,False,25us
62,75.27292,-7.086418e-05,160.0,False,25us
63,70.05312,-6.581905e-05,160.0,False,25us
64,65.31113,-6.12355e-05,160.0,False,25us
65,59.0274335,-5.5161355999999996e-05,160.0,False,25us
66,53.464924,-4.9783986e-05,160.0,False,25us
67,50.175537,-4.6603873e-05,160.0,False,25us
68,45.7550735,-4.2330003e-05,160.0,False,25us
69,45.68887391489362,0.00015828281882978725,160.0,False,25us
70,55.53226107692308,0.00016327872128205128,160.0,False,25us
71,67.93097,0.00014772646833333334,160.0,False,25us
72,86.294212,0.00012781676,160.0,False,25us
73,100.06367499999999,0.00011374983500000001,160.0,False,25us
74,110.2538,0.00010320843,160.0,False,25us
75,121.679135,9.065958249999999e-05,160.0,False,25us
76,132.21916,7.806047e-05,160.0,False,25us
77,138.42561,6.9766844e-05,160.0,False,25us
78,145.71134,5.8693604e-05,160.0,False,25us
79,153.14953500000001,4.495086425e-05,160.0,False,25us
80,158.0502725,3.2920011e-05,160.0,False,25us
81,161.07859785714285,2.252848435714286e-05,160.0,False,25us
82,163.222262,9.629665139999999e-06,160.0,False,25us
83,163.7577259090909,-4.771017103181818e-07,160.0,False,25us
84,162.83205666666666,-1.2589856333333334e-05,160.0,False,25us
85,159.94083,-2.632449e-05,160.0,False,25us
86,156.97815,-3.5506077e-05,160.0,False,25us
87,150.83233,-4.9209713e-05,160.0,False,25us
88,143.04208,-6.284206e-05,160.0,False,25us
89,136.80014,-7.18887e-05,160.0,False,25us
90,129.81563,-8.090796e-05,160.0,False,25us
91,118.0123075,-9.3311697e-05,160.0,False,25us
92,105.47713,-9.7662065e-05,160.0,False,25us
93,97.41055,-9.226377e-05,160.0,False,25us
94,88.39837,-8.355019e-05,160.0,False,25us
95,79.28909,-7.474584e-05,160.0,False,25us
96,73.69576,-6.933983e-05,160.0,False,25us
97,66.315005,-6.220582799999999e-05,160.0,False,25us
98,59.808346,-5.5916273e-05,160.0,False,25us
99,55.97631,-5.2211843e-05,160.0,False,25us
100,50.8710345,-4.72762605e-05,160.0,False,25us
101,46.327694,-4.2883654e-05,160.0,False,25us
102,43.38214121739131,0.00010430222924782609,160.0,False,25us
103,50.734997949152536,0.0001716821211864407,160.0,False,25us
104,64.15498014285714,0.00015231403928571427,160.0,False,25us
105,83.17292,0.00013105807,160.0,False,25us
106,94.15918,0.000119790115,160.0,False,25us
108,114.65463,9.849028e-05,160.0,False,25us
109,132.04857,7.824571e-05,160.0,False,25us
110,138.81616,6.9156595e-05,160.0,False,25us
111,144.82504,6.0065184e-05,160.0,False,25us
112,150.04268,5.095858e-05,160.0,False,25us
113,156.23943,3.72340655e-05,160.0,False,25us
114,161.000365,2.29795635e-05,160.0,False,25us
115,162.55707,1.4981032e-05,160.0,False,25us
116,163.73978428571428,1.3421641664285714e-06,160.0,False,25us
117,163.34798600000002,-8.392026419999999e-06,160.0,False,25us
118,161.72946,-1.9162051e-05,160.0,False,25us
119,157.78119500000003,-3.29515385e-05,160.0,False,25us
120,152.19797,-4.6678706e-05,160.0,False,25us
121,147.36206,-5.5782195e-05,160.0,False,25us
122,138.51818500000002,-6.937202e-05,160.0,False,25us
123,128.16951,-8.290305e-05,160.0,False,25us
124,120.34173,-9.176505e-05,160.0,False,25us
125,108.4485325,-9.806027e-05,160.0,False,25us
126,97.64844,-9.2493756e-05,160.0,False,25us
127,91.433754,-8.648426e-05,160.0,False,25us
128,82.359025,-7.771294e-05,160.0,False,25us
129,73.68808,-6.9332404e-05,160.0,False,25us
130,68.614296,-6.442832e-05,160.0,False,25us
131,61.902478,-5.7940565499999994e-05,160.0,False,25us
132,55.971024,-5.2206735e-05,160.0,False,25us
133,52.46931,-4.8821465e-05,160.0,False,25us
134,49.263496,-4.57221e-05,160.0,False,25us
135,44.9533635,-4.15548485e-05,160.0,False,25us
136,47.34237624285714,0.00015383003991142856,160.0,False,25us
137,60.2228793,0.000156780573,160.0,False,25us
138,71.722132,0.00014332169333333334,160.0,False,25us
139,89.96233699999999,0.000124066765,160.0,False,25us
140,101.92208,0.00011185405,160.0,False,25us
141,111.758035,0.00010158121500000001,160.0,False,25us
142,125.58266499999999,8.615559999999999e-05,160.0,False,25us
143,135.00426,7.447355e-05,160.0,False,25us
144,142.36364,6.40212825e-05,160.0,False,25us
145,149.80122333333333,5.1633349999999996e-05,160.0,False,25us
146,154.956938,4.0981244e-05,160.0,False,25us
147,159.66883846153846,2.786746992307692e-05,160.0,False,25us
148,162.0979909090909,1.7632923e-05,160.0,False,25us
149,163.64184642857143,3.886230942571429e-06,160.0,False,25us
150,163.71555583333333,-2.3619338312500003e-06,160.0,False,25us
151,162.017,-1.7287146e-05,160.0,False,25us
152,158.81511,-3.014271e-05,160.0,False,25us
153,155.4945,-3.931078e-05,160.0,False,25us
154,148.82909999999998,-5.2991973e-05,160.0,False,25us
155,140.54153,-6.660374e-05,160.0,False,25us
156,133.98636,-7.563939e-05,160.0,False,25us
157,126.705696,-8.46404e-05,160.0,False,25us
158,114.5447,-9.6173433e-05,160.0,False,25us
159,103.83012,-9.767112e-05,160.0,False,25us
160,94.046675,-8.9011082e-05,160.0,False,25us
161,84.132484,-7.942699e-05,160.0,False,25us
162,78.08228,-7.357947e-05,160.0,False,25us
163,70.1146325,-6.587847299999999e-05,160.0,False,25us
164,63.104454,-5.9102476e-05,160.0,False,25us
165,58.983932,-5.511933e-05,160.0,False,25us
166,53.504335499999996,-4.9822069e-05,160.0,False,25us
167,48.63663,-4.5116038e-05,160.0,False,25us
168,45.748184,-4.2323347e-05,160.0,False,25us
169,45.43786427083333,0.00015076781248958335,160.0,False,25us
170,55.40520232432433,0.00016293102810810813,160.0,False,25us
171,67.96938300000001,0.00014769776166666666,160.0,False,25us
172,86.10535999999999,0.00012801023000000002,160.0,False,25us
173,101.63476,0.00011214989,160.0,False,25us
174,110.79665750000001,0.000102620505,160.0,False,25us
175,120.42142,9.218808e-05,160.0,False,25us
176,129.336445,8.1676515e-05,160.0,False,25us
177,139.29980999999998,6.8549285e-05,160.0,False,25us
178,147.60176666666666,5.5577082333333334e-05,160.0,False,25us
